season,episode,timestamp,description
2,4,04:37,"Lassie: Morning, O'Conell. Schwartz. Dobson."
2,8,04:07,"Lassie: Dobson! I want you on tactical! Where the hell is Dobson?"
3,9,157,"Shawn: Lassie, I think Dobson is, uh, calling for you."
3,12,29:53,"Lassie: Dobson!
Dobson (off-screen): Yes, sir."
3,16,12:42,"Lassie: It wasn't delivered. Dobson found it outside the file room."
5,3,29:01,"Lassie: Dobson, come help me out!"
5,14,25:51,"Lassie (on the phone): All right, Dobson. It was worth a shot."
6,2,25:08,"Lassie: Dobson, you start shaking down all his coworkers."
7,7,03:31,"Lassie: Hey, Dobson, you know how to tend bar, right?"
7,9,06:15,"Lassie: I bet Dobson you two wouldn't last."
7,14,37:15,"Trout: No, I'm appointing Officer Dobson lead on the case, effective immediately.
Lassie: Dobson? He doesn't know anything about it. Plus, he's lazy."
7,15,47:02,"Lassie: And Dobson, please find out how early I can retire and still get benefits."
8,2,10:46,"Lassie: Dobson actually asked for my autograph afterwards."
8,7,26:38,"Lassie: It's Dobson. Talk to me, Dobson."
8,10,34:32,"Shawn (on tape): Detective Dobson... What can I say? We didn't get to speak nearly as much as I ever would have liked, but I heard more about you than anyone ever could."
8,10,34:57,"Lassie: Dobson. Brannigan's making these damn bracelets again. You gotta take this one."
