season,episode,timestamp,description
1,5,02:00,"<pre>Gus: Oh, I'm so glad to hear you say that. I was kind of worried about telling you.
Shawn: Don't be a silly goose.</pre>"
1,5,23:30,"<pre>Gus: Are you out of your mind? You rented office space for this?
Shawn: Gus, don't be a crazy hooligan. I rented a sign.</pre>"
1,14,07:50,"<pre>Gus: Well, Mr. Peterson, this sounds like a case for the police. Let me get you a number.
Shawn: Gus, don't be a gooey chocolate chip cookie.
Gus: What?</pre>"
2,1,02:00,"<pre>Gus: Whoa, no calls either.
Shawn: Gus, don't be a rabid porcupine.</pre>"
2,2,04:00,"<pre>Gus: I came all the way down from the office, Shawn.
Shawn: Gus, don't be a giant snapping turtle. We'll have a case in five minutes.</pre>"
2,3,18:50,"<pre>Gus: Shawn. I think we're not welcomed here.
Shawn: Gus, don't be a paranoid schizophrenic. We're always welcome here.</pre>"
2,6,28:10,"<pre>Gus: We spent two hours riding up to that mushroom farm, and we're right back to when we started.
Shawn: Don't be such a gloomy you, Gus. Look at the bright side.</pre>"
2,9,15:20,"<pre>Gus: No, Shawn, you're not doing this to me again. No, not this time. Not with a criminal in the back of my car.
Shawn: Gus, don't be a little girl about this, okay? It's only gonna take five minutes.</pre>"
2,16,21:40,"<pre>Gus: I tried, Shawn. I can't do this.
Shawn: Gus, don't bea traveling wilbury.</pre>"
3,2,23:10,"<pre>Gus: That's easy for you to say, Shawn. Nobody had any expectations you would amount to greatness.
Shawn: Gus, don't be an incorrigible Eskimo Pie with a caramel ribbon.</pre>"
3,3,14:00,"<pre>Gus: Deboned? Killed and rekilled? How does that even work?
Shawn: Gus, don't be an old sponge with hair hanging off of it. I'm all over this case.</pre>"
3,6,08:10,"<pre>Gus: All I'm saying is, so much for us being in Chief Vick's good graces. We may have just burned our bridge with her.
Shawn: Gus, don't be a myopic chihuahua. I have a fool-proof plan that not only solves the case but gives Chief all the credit.</pre>"
3,10,21:50,"<pre>Gus: Did you listen to anything your dad said? The map is the screen.
Shawn: Gus, don't be exactly half of an 11-pound black forest ham.</pre>"
3,12,09:40,"<pre>Gus: Right. So what are we doing? Are we really done?
Shawn: Gus, don't be William Zabka from Back to School.</pre>"
3,14,19:20,"<pre>Gus: Dude, the clock is ticking on some guy's life and you're out getting a milkshake?
Shawn: Gus, don't be this crevice in my arm. This isn't a milkshake, it's a smoothie. There's a huge difference.</pre>"
3,16,23:10,"<pre> Look, Shawn, I know you're upset, but if we give up now...
Shawn: Gus, don't be The Last of the Famous International Playboys. We're not giving up, okay? Far from it.</pre>"
4,2,22:50,"<pre>Gus: This is an airport, Shawn. We can't sniff around. I don't want to end up in Guantanamo.
Shawn: Gus, don't be principal and interest. I already have plan.</pre>"
4,5,09:10,"<pre>Gus: I don't know what we're gonna find here. The shooter's back at the motel.
Shawn: Gus, don't be the ribs that flip over Fred Flintstone's car.</pre>"
4,6,13:10,"<pre>Gus: You don't think Lassiter may be right?
Shawn: Gus, please. Don't be Harry Potter and the prisoner of marzipan.</pre>"
4,7,13:40,"<pre>Gus: You heard Lassiter. We need a police detail.
Shawn: Don't be the American adaptation of the British Gus.</pre>"
4,8,11:30,"<pre>Gus: This may be above our pay grade.
Shawn: Don't be the third Thompson twin with the dreads. This is exactly at our pay grade. Plus, we're his only hope.</pre>"
4,11,21:3O,"<pre>Gus: So now you're gonna tell me Monkey brush doesn't even exist?
Shawn: Don't be the new Meshach Taylor.</pre>"
4,12,23:00,"<pre>Gus: This is your fix, Shawn? The man is a convicted murderer. He will kill us.
Shawn: Don't be the 'it' in 'wait for it!' This is gonna work great.</pre>"
4,13,16:10,"<pre>Gus: Shawn?
Shawn: Gus, relax. Don't be Nic Cage's accent from Con Air. We've bathed together before.</pre>"
4,15,30:30,"<pre>Gus: Yeah. I need to get off this boat.
Shawn: Gus, don't be Leon from the Like a Prayer video.</pre>"
