season,episode,timestamp,description
7,11,03:10,"<pre>Shawn: I'm proud of you man, not just standing up for that girl but for sticking it to your boss on your own behalf.</pre>"
7,11,31:40,"<pre>Shawn: All right, relax. I'm still proud of you.
Gus: You are?</pre>"
7,11,36:10,"<pre>Gus: I'm not touching a thing, Shawn. I don't need to. You know why? I'm innocent, and the truth shall set me free.
Shawn: Hurricane Carter, I'm proud of you.
Gus: I'm proud of me too.</pre>"
7,13,38:50,"<pre>Gus: But you know what I realized? No matter how it all plays out, Burton Guster is gonna be just fine.
Shawn: You know what? I'm proud of you.
Gus: Thank you.</pre>"
8,1,43:10,"<pre>Despereaux: You'll find me toiling away in obscurity in some dreary old office, no doubt.
Shawn: Hey. I'm proud of you.
Despereaux: Thank you.</pre>"
8,2,07:00,"<pre>Shawn: Now, you ready to do this?
Gus: No. What--
Shawn: I'm proud of you.</pre>"
8,4,11:20,"<pre>Shawn: Do you have your half of the beard?
Gus: Man, you know it's in the glove compartment.
Shawn: I'm proud of you.
Gus: I'm proud of you.
Shawn: Let's do this.</pre>"
8,4,11:40,"<pre>Shawn: Man, we got arrested.
Gus: It'll take a miracle for us to get out of here.
Shawn: Hey. I'm proud of you.</pre>"
8,5,41:03,"<pre>Gus: Hey. I'm proud of you.
Shawn: I'm proud of you. Quitting your job like that, all man-style.</pre>"
9,1,1:14:15,"<pre>Gus: She deserves the best version of you. Hey.
Shawn and Gus: I'm proud of you.</pre>"
9,2,1:13:18,"<pre>Shawn: Nice, babe. I'm proud of you.</pre>"
