season,episode,timestamp,description
2,1,38:00,"<pre>Nigel St. Nigel: But it can't be him. It's impossible, he was just a contestant.
Gus: Sounds like he has somebody <i>on the inside</i>.</pre>"
2,12,11:30,"<pre>Jervis: It worked. You're finally in.
Henry: Who the hell is he?
Shawn: He's our client.
Henry: You had a guy on the inside, and you needed me to get you in here, come on!</pre>"
2,16,17:30,"<pre>Shawn: Look, I discovered a number of intriguing things when I was figuring out how to crack the security cameras, including an exhibit that looked like it had already been broken into, so what I'm thinking is whoever did it might come back because anyone on the inside knows that there's no night guard on duty and...
Gus: And what?</pre>"
3,7,06:10,"<pre>Lassiter: Not a problem. Tough-to-crack suspects are right in my wheelhouse.
Shawn: Negative. We cannot go about this using a typical Lassiterian technique. We need someone <i>on the inside</i>.</pre>"
5,9,22:10,"<pre>Gus: Who? Who was it?
Nadia: If I knew who it was, I wouldn't be here. He was in disguise, but it's someone on the inside.</pre>"
5,9,24:00,"<pre>Shawn: Nadia said she was set up by someone on the inside. You get the feeling that Driggs is hiding more than he has to?</pre>"
6,5,04:00,"<pre>Shawn: But in order for me to investigate properly, I'm gonna have to get on the inside. I mean, deep <i>on the inside</i>.</pre>"
6,12,09:50,"<pre>Shawn: Based on todd's testimonial, he was scared of somebody on the inside.
Gus: <i>On the inside</i>.</pre>"
7,1,12:10,"<pre>Gus: And why is he gonna talk to us?
Shawn: Why do you think, Gus? Anything he says to help out means less time for him on the <i>inside</i>.</pre>"
8,7,02:40,"<pre>Gus: You need someone the owners don't know, someone who can get <i>on the inside</i>, ask the right questions, nourish themselves, and get to the bottom of what happened.</pre>"
8,7,09:20,"<pre>Gus: You thinking what I'm thinking?
Shawn: Yeah, we got a suspect. Time to go <i>on the inside</i>.</pre>"
8,7,31:40,"<pre>Shawn: Here's the plan. We're pretty sure it's Vito.
Gus: He's <i>on the inside</i>.</pre>"
9,2,54:30,"<pre>Shawn: Woody, I need you to concentrate, man. We need you on the inside, and we really need this to work.</pre>"
9,2,1:14:19,"<pre>Shawn: Which means Dr. Herschel's on the inside digging out the dirty secrets of his rich-ass patients.</pre>"
