season,episode,timestamp,type,description
1,1,,Board game,Monopoly
1,1,,Movie,I'll be back
1,2,,Celebrity,Park Hyatt
1,2,,Celebrity,Dan Quayle
1,3,,Book,The Holy Bible
1,3,,Movie,Ocean's Eleven
1,3,,Movie,Thomas Crown
1,3,,Movie,The one where they kill Donald Sutherland in the first 10 minutes... remake
1,3,,Celebrity,Patrick Swayze
1,3,,Celebrity,Lou Diamond Phillips
1,3,,Celebrity,Ted Nugent
1,4,,Book,A man with several hats doesn't like his haircut
1,4,,Celebrity,Meredith Baxter Birney
1,4,,Celebrity,Jane Austen
1,4,,???,Musketeers
1,4,,Celebrity,Joan Jett
1,4,,Celebrity,Penny Marshall
1,4,,Celebrity,Grace Jones
1,4,,Celebrity,The girl who played Pinky Tuscadero (also a movie ref prolly)
1,5,,???,I dazzle and I stretch
1,5,,Magazine,Sports Illustrated
1,5,,Music,The Cure
1,6,,TV,History Channel
1,6,,TV,ESPN
1,6,,TV,Channel 206
1,6,,???,I thought you'd never ask
1,6,,Celebrity,Denzel Washington
1,7,,Title,Ghostbusters
1,7,,Celebrity,Pete Rose
1,7,,Movie,Poltergeist
1,7,,Movie,Poltergeist II
1,7,,Movie,Gremlins
1,7,,Movie,Jaws
1,7,,Movie,Smokey and the Bandit
1,7,,Movie,Hooper
1,7,,Celebrity,Sally Field
1,7,,Celebrity,Terry Bradshaw
1,7,,Celebrity,Norma Rae
1,8,,TV series,Columbo
1,8,,TV series,Star Trek
1,8,,Comic,The X-men
1,8,,Celebrity,Johnny Depp
1,8,,Celebrity,Kate Moss
1,8,,Celebrity,Steven Dorff
1,8,,Celebrity,Keith Moon
1,8,,???,The rest of em is confusing
1,9,,Celebrity,Bruce Lee
1,9,,TV series,When Animals Attack
1,9,,Movie,The Lion King
1,9,,Movie,Star Wars
1,9,,???,Rappaport
1,9,,Celebrity,James Earl Jones
1,9,,???,Sherlock Holmes (is that a reference? cause I'd consider that an idiom)
1,10,,Celebrity,Don Cheadle
1,10,,Movie,Idk some movie with Danny Zukko, Travolta, and Keinecke
1,10,,Celebrity,Prince
1,11,,Movie,In the Heat of the Night
1,11,,TV,Queer Eye
1,11,,Celebrity,Simon Cowell
1,11,,Celebrity,John Wayne
1,11,,Movie,Rio Bravo
1,11,,Music,Bee Gees
1,12,,???,Space Mountain
1,12,,TV,Law and Order
1,13,,Music,Whitesnake
1,13,,???,Airwolf
1,13,,???,"Homina, Homina, Homina, Homina, Ricky, Enrique, Geraldo, Menudo, Richie"
1,13,,TV,The Twilight Zone
1,14,,Movie,Lost Boys
1,14,,Celebrity,Matt Lauer
1,14,,Celebrity,Diane Lane
1,14,,Movie,Passenger 57
1,15,,Movie,Star Wars (Lando)
1,15,,TV,The Cosby Show
1,15,,Movie,Silence of the Lambs
2,1,,TV,American Idol
2,1,,Celebrity,Michael Jackson
2,1,,Celebrity,Billy Ocean
2,1,,Celebrity,Roland Orzabal
2,1,,Music,Shout by Tears for Fears
2,1,,Music,Take on Me
2,1,,Music,Yankee Rose by David Lee Roth
2,1,,TV,Everybody Loves Raymond
2,1,,Movie,Rainman
2,1,,Music,Prince
2,1,,TV,Mr Bean
2,1,,Music,Hall and Oates
2,1,,Celebrity,Keyser Soze
2,1,,Movie,Whatever has count chocula in it
2,1,,Celebrity,Ricky Martin
2,2,,Celebrity,Michael Jackson
