season,episode,timestamp,description
3,1,23:20,"<pre>Gus: I don't care what you say, we're solving this case. So suck it up.
Shawn: Suck what up?
Gus: What are you talking about?
Shawn: What are you talking about?
Gus: I don't know.</pre>"
4,12,07:50,"<pre>Gus: It's settled. I'm helping.
Gus: You are not helping. Period. Suck it.
Shawn: Fine.</pre>"
5,14,08:40,"<pre>Tony Cox: Well, you mostly deserved it.
Shawn: You deserved it.
Tony Cox: Suck it.
Shawn: You suck it.</pre>"
6,1,02:20,"<pre>Shawn: Dude, this kid has Mattel Electronics Football II, the one where you can throw passes. Suck it, hyphens.</pre>"
6,4,23:00,"<pre>Mantis: I also have reason to believe that a huge drug shipment to the Caminos is imminent.
Shawn: Ha! We already know that one. Suck it.
Juliet: Shawn, we're all professionals.
Mantis: Oh, yeah? You suck it.
Shawn: You suck it.</pre>"
6,5,02:30,"<pre>Henry: Pick it up.
Shawn: Suck it!
Henry: Out! Get out!
Shawn: Suck home plate!
Henry: You suck it!</pre>"
6,10,04:20,"<pre>Shawn: I think what this woman is trying to say here, Gus, is that you can suck it.
Woman: No, I'm not saying that.
Shawn: I'm paraphrasing.
Gus: Do you even know what 'paraphrase' means?
Shawn: It means, 'Suck it please, Gus.'</pre>"
6,10,46:40,"<pre>Shawn: Gus Is crappy.
Gus: Your mama's crappy.
Shawn: You're just plain crapola.
Gus: Suck it, Shawn.</pre>"
6,14,18:10,"<pre>Gus: This is all you, Shawnie boy.
Shawn: Hey, suck it, Gus.</pre>"
6,14,34:10,"<pre>Shawn: I'm going inside.
Gus: Yeah, suck it.</pre>"
6,16,11:00,"<pre>Shawn: Have some respect for yourself.
Gus: Suck it, Shawn.</pre>"
6,16,27:50,"<pre>Gus: Now, I'm 'bout to go home and have a threesome with two toblerones, and then hit the sack.
Shawn: Suck it.
Gus: You suck it.
Shawn and Gus (musically): Suuuck iiiiit.</pre>"
7,2,03:10,"<pre>Gus: She's like an Indian princess who bakes pies. And I have date with her. So... (musically) suck iiiit.</pre>"
7,3,03:00,"<pre>Shawn: You just jinxed yourself.
Gus: Suck it, Shawn.</pre>"
7,3,21:03,"<pre>Gus: We're not talking about this, Shawn, ever. You can all suck it.</pre>"
7,5,24:18,"<pre>Shawn: Liar! You ate all of them but the black ones.
Gus: Suck it.
Shawn: You suck it.
Gus: You suck it.
Shawn and Gus (musically): Suuuck iiiiiit!</pre>"
7,6,18:40,"<pre>Shawn: Is that your audition for 'To Catch A Predator'?
Gus: Suck it, Shawn.</pre>"
7,10,03:00,"<pre>Gus: I'm available for brunch.
Shawn: You're available to suck it.</pre>"
7,11,21:10,"<pre>Shawn: I'll sell you a smile.
Gus: Suck it, Shawn.</pre>"
7,11,35:10,"<pre>Sally: Mr. Guster, I know two things to be true. One, Teddy Fincher is in love with you.
Shawn: Told you.
Gus: Suck it, Shawn.</pre>"
7,11,39:40,"<pre>Shawn: What's my name? Suck it. That's my name.</pre>"
7,13,18:30,"<pre><i>Henry goes by Shawn and Gus in his truck while holding a cardboard sign that says 'suck it'</i>
Shawn: Well played, pop. I think the 'Suck it' was meant for you.</pre>"
7,14,41:20,"<pre>Shawn: And, if you're wondering who ate the rest of your balance bar, look no further than this... because it was me.
Gus (musically): Suck it.</pre>"
7,14,42:00,"<pre>Trout: And I'm painting these walls. (musically) Suck it.
Shawn: He sang our song.
Gus: It's on now.</pre>"
7,15,20:10,"<pre>Dr Adair: Now, Yang.
Yang: Suck it.</pre>"
8,1,25:00,"<pre>Shawn: See that, Gus? Stuyvesant is a legend around here, so you can suck it.</pre>"
8,1,42:20,"<pre>Shawn: How do you say 'Suck it' in English?
Gus: You just did, Shawn.</pre>"
8,6,13:40,"<pre>Gus: And, yes, I found the other piece to the fryer, so... (musically) Suck it.</pre>"
8,8,08:00,"<pre>Shawn: Suck it, Bernie.</pre>"
8,8,0:17:14,"<pre>Shawn: Y'all can suck it! You can suck it! Both of you.
Garth You suck it!</pre>"
8,8,35:10,"<pre>Shawn: Spirits, tell him to suck it
Gus: Suck it.
Hazel: Suck it.</pre>"
9,1,22:00,"<pre>Shawn: Then we're off to Mt. McCumber where you can suck it.
Gus: You suck it.
Shawn and Gus (musically): Suck it, suck it, suck it, c'mon, son.</pre>"
