season,episode,timestamp,description
1,3,,"<pre>Shawn: This is my associate, Gus. Just call him Peter Panic.</pre>"
1,5,,"<pre>Shawn: I'm Shawn Spencer, this is my partner Gus 'Silly pants' Jackson</pre>"
1,12,,"<pre>Shawn: Shawn Spencer here. Spencer. That's S-P-E-N-C-E-R. This is my partner, Burton Guster. G-U...</pre>"
2,1,,"<pre>Shawn: I'm Shawn Spence Starr. This is my partner, Gus TT Showbiz.</pre>"
2,9,,"<pre>Shawn: My name is Shawn Spencer. This is my partner Burton Guster.</pre>"
2,9,,"<pre>Shawn: You know what, the truth is, I'm a psychic detective. This is my partner, Galileo Humpkins.
Gus: You know, for the first time, I'm grateful you didn't use my real name.</pre>"
2,10,,"<pre>Shawn: My name's Shawn. This is my partner, Skooney 'u-turn' Singleton.</pre>"
2,13,,"<pre>Shawn: Spencer. Shawn Spencer. This is my partner, Lavender Gooms.</pre>"
2,14,,"<pre>Secretary: I'm not showing an appointment, mister...
Gus: Guster. Burton Guster. And this is my associate William Zane.</pre>"
2,16,,"<pre>Shawn: My name is Shawn Spencer. I'm working with Sophie and the Museum. This is my partner Paddy Simcox.</pre>"
3,1,,"<pre>Shawn: It's okay, I'm Shawn Spencer, it's me and my partner, Lemongrass Gogoloab.</pre>"
3,3,,"<pre>Shawn: Shawn Spencer, this is my partner, Squirts Macintosh.</pre>"
3,5,8:00,"<pre>Shawn: Hello, my name is Shawn Spencer, I am the head psychic for the Santa Barbara police department and that is my partner-
Henri: Yeah, yeah, that's his partner Methuselah Honeysuckle, which makes me Old Scratch Johnson.</pre>"
3,6,,"<pre>Shawn: My name is Shawn Spencer, this is my partner, Chesterfield McMillan.</pre>"
3,7,,"<pre>Shawn: ManiacManiac19, president pro tem, Maniac Fan Club. This is my vice president, Longbranch Pennywhistle.</pre>"
3,7,,"<pre>Shawn: My name is Shawn Spencer. This is my partner... I can't believe I'm blanking. I've done this a million times.
Gus: Nice work.</pre>"
3,9,,"<pre>Brittany: Are you Mr. Psych?
Shawn: I'm Mr. Shawn and this is Scrooge Jones. We're psychic detectives. Who might you be?</pre>"
3,13,,"<pre>Lassie: I'm Detective Lassiter. This is my partner, Detective O'Hara. These are... Never mind.</pre>"
3,13,,"<pre>Shawn: My name is Shawn Spencer. I'm a psychic who works for the SBPD. This is my partner, Dekwan 'Smallpox' Randolph. You can call him Gus.</pre>"
3,14,,"<pre>Shawn: My name is Shawn Spencer, I'm with the Big Uncles of America program. This is my underprivileged mentee, Hollaback Atcha.</pre>"
3,15,,"<pre>Shawn: My name is Shawn Spencer. I'm psychic. This is my partner Lumpkin-
Gus: My name is Gus. But you can call me Slicks.</pre>"
3,16,,"<pre>Waitress: Hey, can I get you guys anything else before I close this check out?
Shawn: As a matter of fact, you can. My partner, Trapezius Milkington, would like to see something in a Belgian waffle.</pre>"
3,16,,"<pre>Shawn: This is my partner, Sterling Cooper.</pre>"
4,2,,"<pre>Shawn: My name is Shawn Spencer. This is my associate, Jazz Hands.</pre>"
4,4,16:55,"<pre>Shawn: My name is Shawn, this is Shawn. No relation.</pre>"
4,7,,"<pre>Gus: My name is Gus... Brown, and this is my associate Shawn White.</pre>"
4,7,,"<pre>Shawn: I'm world-renowned psychic/lothario Shawn Spencer. This Is my associate...
Gus: Gus. But you can call me John Slade.</pre>"
4,8,,"<pre>Shawn: Hey there. My name is Shawn Spencer. My associate Ron Davis, aka Bob Adams. Known to his coven simply as rich fingerlind.</pre>"
4,8,,"<pre>Shawn: I'm trying to get my buddy Harry Monroe here an appointment.</pre>"
4,8,,"<pre>Shawn: My name is R.P. McMurphy. This is my partner Cheswicke.</pre>"
4,9,,"<pre>Shawn: My name Is Shawn Spencer. This is my associate Donut Holestein.
Garth: Garth Longmore.
Shawn: 'Garth Longmore'? I feel bad. I should've come up with something better for you.</pre>"
4,10,,"<pre>Shawn: Shawn Spencer, Paraguayan ambassador. This is my attache, Ghee Buttersnaps, aka 'the heater'.</pre>"
4,10,,"<pre>Ewan: This is Shawn Spencer. He's a psychic detective helping the SBPD. Investigating the suicide of private David Starks.
Soldier: We heard. It was a shame.
Ewan: This is his partner Ghee Buttersnaps.</pre>"
4,12,,"<pre>Shawn: My name is Shawn Spencer, well-known psychic detective, and this is my associate, Burton Guster.
Gus: Now you wanna use my real name?</pre>"
4,14,,"<pre>Shawn:  I'm Shawn Spencer.  This Is my partner... 
Walter: Burton Guster. Or should I say Ghee Buttersnaps or Lavender Gooms or Clementine Wooliesocks, perhaps?
Shawn: This guy Really Is a fan. 
Gus: A fan or a stalker. Ghee Buttersnaps was said on a secure military base with no one else around.</pre>
Fun fact: Clementine Wooliesocks was never a nickname (or at least not in an episode)."
5,1,,"<pre>Shawn: My name is Shawn Spencer. This is my partner Jonathan Jacob jingly Smith.</pre>"
5,2,,"<pre>Shawn: I'm Detective Carlton Lassiter. This is my associate Burton Guster. What's wrong?
Gus: I'm not used to getting introduced by my real name.</pre>"
5,2,,"<pre>Shawn: I'm a psychic with the police department. This is my partner, Santonio Holmes.</pre>"
5,4,,"<pre>Shawn: I'm psychic detective Shawn Spencer. This is my partner, Chaz Bono.</pre>"
5,5,,"<pre>Shawn: I'm Shawn. This is my associate, M.C. Clap Yo Handz.</pre>"
5,6,,"<pre>Shawn: My name is Shawn Spencer. This is my partner, Imhotep, or 'he cometh in peace'. Go ahead, show her your 'cometh in peace' face.</pre>"
5,6,,"<pre>Shawn: My name is Shawn Spencer. I'm a psychic detective. This is my partner, Control-Alt-Delete.</pre>"
5,8,,"<pre>Lassie: I'm Detective Carlton Lassiter. This is my partner Juliet O'Hara and...Eh.</pre>"
5,10,,"<pre>Shawn: Hello, I'm Shawn Spencer, psychic detective. This is Big Apple Mackintosh and my partner Yasmine Bleeth.</pre>"
5,12,,"<pre>Shawn: I have a confession to make. I'm not just a cinnamon enthusiast. I'm also a psychic detective. And this is my partner, Lodge Blackmunn.</pre>"
5,13,,"<pre>Shawn: I'm officer Shawn Spencer, and this is my partner, Mission Figz.</pre>"
5,15,,"<pre>Shawn: I'm Shawn Spencer. This is my partner Radio Star. I'm afraid your video will kill him.
Gus: That's not true. The name is Burton, and the camera has loved me since I've been a baby.</pre>"
5,15,25:55,"<pre>Shawn: I have an expert witness. I present Gusjay Gupta.</pre>"
5,15,31:05,"<pre>Shawn: Gus has had much more success with stripper-grams. His stage name is original G-String, A.K.A. Crowd-Pleazah.</pre>"
6,4,5:45,"<pre>Shawn: I was tripped by my clumsy assistant, Watson Williams.
Gus: I am not your assistant and my name is not Watson Williams.
Shawn: Oh, but you do admit to tripping me.</pre>"
6,7,,"<pre>Shawn: Well, sir, my name is Shawn Spencer. This is my partner, Ingle Woods.</pre>"
